202312161944
chozame
x
area
charger_4k_scope,others,432,5,1,2,win
shooter_sharp,myself,515,5,2,2,win
wiper_gim,others,537,4,1,2,win
shooter_spla,others,506,4,3,2,win
stringer_lact,others,759,4,4,2,lose
blaster_hot_custom,others,371,2,3,1,lose
shooter_spla,others,376,3,3,1,lose
charger_4k_scope,others,249,0,4,0,lose
a_x,a_y,a_sp,a_life,b_x,b_y,b_sp,b_life,y_x,y_y,y_sp,y_life,x_x,x_y,x_sp,x_life,u_x,u_y,u_sp,u_life,r_x,r_y,r_sp,r_life,d_x,d_y,d_sp,d_life,l_x,l_y,l_sp,l_life
790,344,8,True,714,488,9,False,858,342,5,False,925,309,6,False,716,303,nan,False,1216,295,nan,False,919,336,nan,False,1158,400,nan,False
721,487,8,True,720,487,9,False,853,326,5,False,917,311,6,False,715,305,nan,False,1216,295,nan,False,1215,281,nan,False,718,318,nan,False
738,484,8,True,737,484,9,False,831,311,0,False,902,312,nan,False,715,305,nan,False,1216,295,nan,False,1215,281,nan,False,718,318,nan,False
767,488,8,True,766,488,9,False,813,295,0,False,875,309,nan,False,715,305,nan,False,1216,295,nan,False,1215,281,nan,False,718,318,nan,False
785,486,8,True,785,486,9,False,823,290,0,False,864,306,nan,False,715,305,nan,False,1216,295,nan,False,1215,281,nan,False,718,318,nan,False
794,482,8,True,793,482,40,False,835,293,2,False,879,302,8,False,715,305,nan,False,1216,295,nan,False,1215,281,nan,False,718,318,nan,False
795,475,8,True,795,475,40,False,847,288,2,False,903,299,8,False,715,305,nan,False,1216,295,nan,False,1215,281,nan,False,718,318,nan,False
804,482,8,True,804,482,40,False,869,262,2,False,923,296,8,False,715,305,nan,False,1216,295,nan,False,1215,281,nan,False,718,318,nan,False
819,479,8,True,819,479,40,False,891,236,2,False,936,308,9,False,715,305,nan,False,1216,295,nan,False,1215,281,nan,False,718,318,nan,False
790,344,8,True,833,478,40,False,914,229,2,False,957,330,9,False,715,305,nan,False,1482,426,nan,False,1782,748,nan,False,718,318,nan,False
790,344,8,True,846,476,40,False,926,240,2,False,985,356,9,False,715,305,nan,False,1482,426,nan,False,1883,142,nan,False,1884,156,nan,False
790,344,8,True,790,344,40,False,937,248,4,False,1014,369,9,False,715,305,nan,False,1482,426,nan,False,1822,146,nan,False,1824,159,nan,False
790,344,8,True,863,458,40,False,951,254,4,False,1041,374,9,False,715,305,nan,False,1482,426,nan,False,1779,151,nan,False,1781,164,nan,False
790,344,8,True,880,453,40,False,974,274,4,False,1051,377,9,False,715,305,nan,False,1482,426,nan,False,1749,179,nan,False,1751,170,nan,False
790,344,8,True,902,448,40,False,987,303,4,False,1050,384,9,False,715,305,nan,False,1482,426,nan,False,1720,181,nan,False,718,318,nan,False
790,344,8,True,923,443,40,False,999,314,4,False,1050,387,9,False,715,305,nan,False,1482,426,nan,False,1688,187,nan,False,1680,165,nan,False
790,344,8,True,939,438,40,False,1006,323,5,False,1064,384,9,False,715,305,nan,False,1482,426,nan,False,1652,198,nan,False,1644,166,nan,False
790,344,8,True,948,430,40,False,1011,326,nan,False,1084,376,9,False,715,305,nan,False,1482,426,nan,False,1617,208,nan,False,1623,150,nan,False
790,344,8,True,966,421,40,False,1008,327,nan,False,1125,371,9,False,715,305,nan,False,1849,233,nan,False,1585,219,nan,False,1615,138,nan,False
790,344,8,True,790,344,40,False,1000,324,nan,False,1147,383,9,False,715,305,nan,False,1803,240,nan,False,1551,224,nan,False,1595,128,nan,False
844,128,8,True,1007,374,40,False,992,320,9,False,1154,396,9,False,715,305,nan,False,1767,246,nan,False,1534,227,nan,False,1563,111,nan,False
1036,380,8,True,1035,380,40,False,999,310,70,False,1140,402,9,False,715,305,nan,False,1743,249,nan,False,1514,231,nan,False,1533,96,nan,False
1052,384,8,True,1051,384,40,False,1028,290,70,False,1125,394,8,False,715,305,nan,False,1713,253,nan,False,1476,233,nan,False,1505,83,nan,False
1767,506,8,True,1052,392,40,False,1054,285,70,False,1102,388,0,False,715,305,nan,False,1683,261,nan,False,1441,236,nan,False,1491,81,nan,False
1058,393,8,True,1057,393,40,False,1087,290,70,False,1071,374,nan,False,715,305,nan,False,1654,274,nan,False,1438,252,nan,False,1476,84,nan,False
1067,385,8,False,1066,385,40,False,1121,290,70,False,745,50,nan,False,715,305,nan,False,1626,289,nan,False,1434,267,nan,False,1443,90,nan,False
1080,378,8,False,1079,378,40,False,1137,287,70,False,1022,353,nan,False,1609,283,nan,False,1610,297,nan,False,1428,280,nan,False,1427,87,nan,False
1094,376,8,False,1093,376,40,False,1138,290,70,False,1008,344,nan,False,1595,283,nan,False,1596,298,nan,False,1421,299,nan,False,1411,87,nan,False
1105,374,8,False,1104,374,40,False,1125,294,70,False,998,341,4,False,1582,286,nan,False,1583,300,nan,False,1417,332,nan,False,1373,90,nan,False
1113,377,8,False,1112,377,40,False,1116,296,70,False,989,341,4,False,1582,292,nan,False,1584,306,nan,False,1404,367,nan,False,1338,91,nan,False
1117,382,8,False,1117,382,40,False,1134,296,70,False,982,336,6,False,1305,78,nan,False,1579,318,nan,False,1401,388,nan,False,1307,91,nan,False
1119,385,8,False,1119,385,40,False,1156,302,70,False,969,314,6,False,1292,71,nan,False,1581,328,nan,False,1400,409,nan,False,1294,84,nan,False
1120,387,8,False,1119,387,40,False,1145,306,70,False,957,280,nan,False,1295,64,nan,False,1583,339,nan,False,1395,444,nan,False,1297,78,nan,False
74,500,8,False,1121,389,40,False,1111,308,70,False,952,246,nan,False,1576,336,nan,False,1577,350,nan,False,1388,465,nan,False,1323,84,nan,False
299,441,8,False,1123,390,40,False,1085,309,70,False,936,242,nan,False,1585,345,nan,False,1587,359,nan,False,1383,477,nan,False,1315,80,nan,False
553,382,8,False,1124,392,40,False,1079,309,70,False,921,242,nan,False,1297,66,nan,False,1592,366,nan,False,1387,485,nan,False,1299,79,nan,False
800,334,8,False,1126,395,4,False,1082,309,70,False,907,246,nan,False,1853,277,nan,False,1595,374,nan,False,1391,496,nan,False,1285,81,nan,False
1007,300,8,False,1131,387,44,False,1090,308,70,False,879,251,nan,False,1808,290,nan,False,1610,372,nan,False,1391,506,nan,False,1276,86,nan,False
1094,290,8,False,1118,380,49,False,nan,nan,70,False,865,254,nan,False,1774,299,nan,False,1613,364,nan,False,1399,517,nan,False,1275,88,nan,False
1129,383,8,False,1129,383,49,False,1103,307,70,False,854,264,nan,False,1748,304,nan,False,1613,352,nan,False,1404,529,nan,False,1277,88,nan,False
1134,277,8,False,1140,390,49,False,1129,298,70,False,848,273,nan,False,1718,302,nan,False,1605,343,nan,False,1394,535,nan,False,1279,88,nan,False
1147,397,8,False,1146,397,49,False,1148,293,70,False,849,274,nan,False,1686,288,nan,False,1604,333,nan,False,1382,536,nan,False,1284,87,nan,False
1172,280,8,False,1149,403,49,False,1148,294,70,False,849,275,nan,False,1659,276,nan,False,1601,322,nan,False,1347,534,nan,False,1287,91,nan,False
1204,291,8,False,1144,406,52,False,1133,297,70,False,841,291,nan,False,1628,262,nan,False,1593,312,nan,False,1331,549,nan,False,1279,86,nan,False
1236,312,8,False,1123,398,55,False,1100,297,70,False,838,301,nan,False,1594,257,nan,False,1087,929,nan,False,1317,559,nan,False,1265,81,nan,False
1255,343,8,False,1099,392,59,False,1062,291,70,False,838,300,nan,False,1565,243,nan,False,1566,257,nan,False,1308,551,nan,False,1264,84,nan,False
1280,351,8,False,1084,387,59,False,1035,273,70,False,839,298,nan,False,1544,274,nan,False,1564,234,nan,False,1327,540,nan,False,1272,92,nan,False
1267,340,8,False,1064,387,59,False,1030,258,70,False,840,297,nan,False,1541,280,nan,False,1558,220,nan,False,1346,543,nan,False,1276,95,nan,False
1238,308,8,False,1042,398,59,False,1055,246,70,False,840,297,nan,False,1550,287,nan,False,1547,212,nan,False,1347,548,nan,False,1277,95,nan,False
1215,275,8,False,1050,410,59,False,1068,240,70,False,839,296,nan,False,1559,319,nan,False,1550,199,nan,False,1340,552,nan,False,1276,96,nan,False
