202312051655
baigai
x
yagura
wiper_drive,others,1528,9,3,6,win
shooter_h3_d,myself,1097,5,4,2,win
shooter_spla,others,1251,12,9,5,win
blaster_crash,others,1106,12,5,6,win
shooter_modelar_rg,others,1989,8,7,6,lose
wiper_drive,others,1106,7,1,4,lose
maneuver_spla_collabo,others,892,8,9,4,lose
blaster_long,others,1027,3,6,3,lose
a_x,a_y,a_sp,a_life,b_x,b_y,b_sp,b_life,y_x,y_y,y_sp,y_life,x_x,x_y,x_sp,x_life,u_x,u_y,u_sp,u_life,r_x,r_y,r_sp,r_life,d_x,d_y,d_sp,d_life,l_x,l_y,l_sp,l_life
972,116,66,1,972,116,6,1,1195,139,9,1,nan,nan,nan,1,1093,573,5,1,885,508,25,1,908,461,0,1,871,368,26,1
962,122,63,1,1067,529,6,1,1170,150,66,1,1186,175,nan,1,1084,579,5,1,913,490,1,1,873,378,0,1,875,391,26,1
941,150,61,1,1057,534,6,1,1145,164,61,1,nan,nan,nan,1,1075,583,5,1,nan,nan,5,1,901,482,0,1,883,425,26,1
1048,541,66,1,1047,541,6,1,1123,182,61,1,nan,nan,nan,1,1066,588,5,1,907,521,40,1,898,414,0,1,899,426,26,1
895,212,6,1,1040,545,6,1,1109,201,61,1,nan,nan,nan,1,1057,592,5,1,900,536,4,1,903,500,0,1,923,393,26,1
883,238,91,1,1040,544,6,1,1102,222,61,1,nan,nan,nan,1,1046,594,5,1,904,523,42,1,952,346,0,1,953,359,26,1
878,254,95,1,1040,544,63,1,1098,244,61,1,nan,nan,nan,1,1051,574,nan,1,912,507,42,1,863,508,0,1,989,349,26,1
867,279,95,1,1040,544,61,1,1090,259,61,1,nan,nan,nan,1,1055,537,nan,1,908,494,42,1,835,503,0,1,1008,342,26,1
864,299,95,1,863,299,65,1,1083,270,61,1,nan,nan,3,1,1061,507,62,1,903,462,42,1,826,492,1,1,985,353,26,1
866,305,95,1,1040,544,65,1,1082,270,61,1,nan,nan,3,1,1054,475,62,1,924,428,42,1,832,482,5,1,940,367,26,1
869,301,95,1,1040,544,65,1,1087,251,65,1,nan,nan,5,1,1042,448,62,1,946,418,42,1,843,480,5,1,917,375,26,1
871,292,95,1,1040,544,65,1,1114,237,65,1,1130,263,6,1,1020,448,62,1,946,420,42,1,845,494,5,1,895,384,26,1
nan,nan,nan,1,1040,544,nan,1,1130,234,nan,1,1313,45,nan,1,1006,456,nan,1,949,418,nan,1,835,492,nan,1,877,422,nan,1
nan,nan,nan,1,1040,544,nan,1,1140,228,nan,1,1313,45,nan,1,986,447,nan,1,956,410,nan,1,837,484,nan,1,885,463,nan,1
924,207,nan,1,1040,544,nan,1,1147,227,nan,1,1162,253,nan,1,973,430,nan,1,962,415,nan,1,843,473,nan,1,914,497,nan,1
nan,nan,nan,1,1040,544,nan,1,1153,225,nan,1,1313,45,nan,1,984,430,nan,1,973,421,nan,1,847,460,nan,1,950,518,nan,1
nan,nan,nan,1,1040,544,nan,1,1161,223,nan,1,1313,45,nan,1,1003,429,4,1,nan,nan,nan,1,852,447,nan,1,986,509,nan,1
nan,nan,nan,1,1040,544,nan,1,nan,nan,4,1,1313,45,nan,1,1017,430,nan,1,990,434,nan,1,859,434,nan,1,994,485,nan,1
nan,nan,nan,1,1040,544,5,1,1194,209,nan,1,1697,-30,nan,1,1033,423,nan,1,1006,444,nan,1,868,424,nan,1,869,437,nan,1
nan,nan,nan,1,1040,544,nan,1,1210,206,nan,1,1443,56,nan,1,1045,416,nan,1,1019,453,nan,1,882,405,nan,1,933,451,nan,1
nan,nan,nan,1,1040,544,nan,1,1227,207,nan,1,1243,135,nan,1,1054,422,nan,1,nan,nan,nan,1,920,411,nan,1,921,424,nan,1
nan,nan,nan,1,1040,544,nan,1,1244,211,nan,1,1246,136,nan,1,1050,425,nan,1,1037,474,nan,1,922,349,nan,1,917,402,nan,1
nan,nan,nan,1,1040,544,nan,1,1260,216,nan,1,1253,139,nan,1,1036,413,nan,1,1021,474,nan,1,929,317,nan,1,915,393,nan,1
1029,156,nan,1,1040,544,nan,1,1274,227,nan,1,1253,142,nan,1,1027,395,nan,1,985,460,nan,1,915,292,nan,1,910,411,nan,1
1028,141,nan,1,1040,544,nan,1,1297,252,nan,1,1255,147,nan,1,1020,374,nan,1,944,453,nan,1,910,272,nan,1,890,419,nan,1
nan,nan,nan,1,1040,544,nan,1,1303,281,nan,1,1243,166,nan,1,1009,361,nan,1,920,465,nan,1,917,271,nan,1,867,396,nan,1
nan,nan,nan,1,1040,544,nan,1,1297,298,nan,1,1245,175,nan,1,1000,356,nan,1,930,463,nan,1,919,278,nan,1,860,361,nan,1
nan,nan,nan,1,1040,544,1,1,1286,306,nan,1,1268,173,nan,1,991,359,nan,1,945,451,nan,1,918,285,nan,1,849,325,nan,1
nan,nan,nan,1,1040,544,nan,1,1283,305,nan,1,1300,165,nan,1,982,366,nan,1,953,446,nan,1,918,287,1,1,852,291,nan,1
nan,nan,nan,1,1040,544,nan,1,1289,298,nan,1,1335,170,nan,1,987,381,nan,1,984,433,nan,1,919,286,nan,1,859,295,nan,1
nan,nan,nan,1,nan,nan,3,1,1303,290,nan,1,1348,192,nan,1,858,318,nan,1,1016,408,nan,1,920,287,nan,1,860,331,nan,1
nan,nan,nan,1,nan,nan,3,1,1309,281,nan,1,1332,197,nan,1,1038,426,nan,1,1025,382,nan,1,923,289,nan,1,843,349,nan,1
nan,nan,nan,1,nan,nan,4,1,1301,273,nan,1,1320,195,nan,1,1059,424,nan,1,1032,372,nan,1,924,290,nan,1,834,364,nan,1
1012,110,nan,1,nan,nan,nan,1,1294,265,nan,1,1306,165,nan,1,1059,428,nan,1,1032,375,nan,1,922,285,nan,1,840,379,nan,1
nan,nan,nan,1,nan,nan,nan,1,1281,262,nan,1,1299,119,nan,1,1054,437,nan,1,1032,375,nan,1,923,286,nan,1,871,395,nan,1
1066,105,nan,1,1065,105,1,1,1278,260,nan,1,1297,110,nan,1,1057,447,nan,1,1032,375,nan,1,932,289,nan,1,910,411,nan,1
1078,105,nan,1,nan,nan,nan,1,1271,255,nan,1,1296,109,nan,1,1066,456,nan,1,1033,372,2,1,941,292,nan,1,950,421,nan,1
nan,nan,nan,1,nan,nan,3,1,1277,252,nan,1,1282,113,nan,1,1056,461,nan,1,1035,369,2,1,948,298,nan,1,988,412,nan,1
1018,109,nan,1,1891,113,3,1,1271,254,nan,1,1251,113,nan,1,1040,455,nan,1,1042,363,2,1,957,311,nan,1,1042,468,nan,1
1729,141,3,1,1728,141,nan,1,1261,257,nan,1,1230,115,nan,1,1027,448,nan,1,1037,360,2,1,964,336,nan,1,1030,461,nan,1
1632,160,nan,1,1631,160,5,1,1260,257,nan,1,1228,120,nan,1,1038,442,nan,1,1031,377,2,1,965,349,nan,1,nan,nan,nan,1
nan,nan,nan,1,1582,171,5,1,1235,260,nan,1,1246,121,nan,1,1071,426,nan,1,1045,375,2,1,977,348,nan,1,1073,439,nan,1
1546,181,nan,1,1546,181,nan,1,1203,262,nan,1,1261,116,nan,1,1099,410,nan,1,1061,371,2,1,1008,334,nan,1,1101,423,nan,1
