202312051644
baigai
x
yagura
spinner_hydrant,others,1098,16,3,4,win
maneuver_spla_collabo,others,1302,5,1,5,win
hude_pablo,others,1222,13,3,5,win
shooter_h3_d,myself,878,6,1,3,win
shelter_spy_sorella,others,1104,7,5,5,lose
maneuver_kelvin,others,850,8,11,4,lose
shooter_bottle_foil,others,1081,7,5,4,lose
shooter_52,others,987,6,9,5,lose
a_x,a_y,a_sp,a_life,b_x,b_y,b_sp,b_life,y_x,y_y,y_sp,y_life,x_x,x_y,x_sp,x_life,u_x,u_y,u_sp,u_life,r_x,r_y,r_sp,r_life,d_x,d_y,d_sp,d_life,l_x,l_y,l_sp,l_life
nan,nan,96,1,nan,nan,nan,1,nan,nan,3,1,1073,258,nan,1,983,317,2,1,984,331,2,1,944,430,45,1,945,444,66,1
1760,174,nan,1,1760,174,nan,1,nan,nan,nan,1,1313,45,nan,1,963,391,nan,1,984,336,nan,1,nan,nan,nan,1,949,442,nan,1
1658,193,nan,1,1657,193,nan,1,nan,nan,nan,1,1313,45,nan,1,952,421,nan,1,939,678,nan,1,953,421,nan,1,954,434,nan,1
1599,207,nan,1,1599,207,nan,1,nan,nan,nan,1,1313,45,nan,1,967,399,nan,1,939,724,nan,1,961,426,nan,1,963,439,nan,1
1571,216,nan,1,1570,216,nan,1,nan,nan,nan,1,1313,45,9,1,979,401,nan,1,nan,nan,nan,1,973,430,nan,1,975,443,nan,1
1540,234,nan,1,1540,234,nan,1,807,400,nan,1,1313,45,9,1,990,403,nan,1,nan,nan,nan,1,991,403,nan,1,992,416,nan,1
1519,247,nan,1,1518,247,nan,1,807,400,nan,1,1313,45,nan,1,996,409,nan,1,1013,415,nan,1,1012,400,nan,1,nan,nan,nan,1
1486,250,nan,1,1485,250,nan,1,807,400,nan,1,1313,45,nan,1,1030,403,nan,1,1031,417,nan,1,1030,403,nan,1,nan,nan,nan,1
1456,265,nan,1,1455,265,nan,1,807,400,nan,1,1313,45,nan,1,1044,420,nan,1,nan,nan,nan,1,1044,420,nan,1,nan,nan,nan,1
1454,283,nan,1,1454,284,nan,1,807,400,nan,1,1073,258,nan,1,1034,426,nan,1,nan,nan,nan,1,1060,413,nan,1,1061,426,nan,1
1449,297,nan,1,1835,148,5,1,807,400,nan,1,1073,258,nan,1,nan,nan,nan,1,1056,418,nan,1,nan,nan,nan,1,nan,nan,nan,1
1435,309,nan,1,1789,150,nan,1,807,400,nan,1,1073,258,nan,1,1054,394,nan,1,1056,408,nan,1,1055,394,nan,1,nan,nan,nan,1
1418,312,nan,1,1756,149,nan,1,807,400,nan,1,1073,258,nan,1,1054,383,4,1,1056,397,nan,1,1035,339,nan,1,nan,nan,nan,1
1408,305,nan,1,1726,143,nan,1,807,400,nan,1,1073,258,nan,1,1054,373,nan,1,1055,387,nan,1,1034,317,nan,1,1035,330,nan,1
1387,296,nan,1,1687,148,11,1,807,400,nan,1,1073,258,nan,1,1054,364,nan,1,nan,nan,nan,1,1042,282,nan,1,1038,378,nan,1
